image_paths,image_names,act_lables,pred_labels,act_vals,pred_vals,top_unseen_labels,unseen_pred_vals
awa_data\unseen\pig\pig_10003.jpg,pig_10003.jpg,pig,siamese_cat,6,13,"['persian_cat', 'humpback_whale', 'giant_panda', 'rat', 'pig']",6
awa_data\unseen\pig\pig_10004.jpg,pig_10004.jpg,pig,dolphin,6,4,"['humpback_whale', 'leopard', 'rat', 'raccoon', 'seal']",4
awa_data\unseen\pig\pig_10005.jpg,pig_10005.jpg,pig,cow,6,3,"['pig', 'raccoon', 'humpback_whale', 'rat', 'chimpanzee']",6
awa_data\unseen\pig\pig_10006.jpg,pig_10006.jpg,pig,siamese_cat,6,13,"['persian_cat', 'humpback_whale', 'giant_panda', 'rat', 'pig']",6
awa_data\unseen\pig\pig_10007.jpg,pig_10007.jpg,pig,lion,6,7,"['leopard', 'raccoon', 'giant_panda', 'persian_cat', 'chimpanzee']",7
awa_data\unseen\pig\pig_10008.jpg,pig_10008.jpg,pig,siamese_cat,6,13,"['persian_cat', 'humpback_whale', 'giant_panda', 'rat', 'pig']",6
awa_data\unseen\pig\pig_10009.jpg,pig_10009.jpg,pig,rhinoceros,6,12,"['raccoon', 'hippopotamus', 'humpback_whale', 'leopard', 'chimpanzee']",12
awa_data\unseen\pig\pig_10010.jpg,pig_10010.jpg,pig,rhinoceros,6,12,"['raccoon', 'hippopotamus', 'humpback_whale', 'leopard', 'chimpanzee']",12
awa_data\unseen\raccoon\raccoon_10001.jpg,raccoon_10001.jpg,raccoon,monkey,7,8,"['chimpanzee', 'rat', 'leopard', 'raccoon', 'giant_panda']",7
awa_data\unseen\raccoon\raccoon_10002.jpg,raccoon_10002.jpg,raccoon,siamese_cat,7,13,"['persian_cat', 'humpback_whale', 'giant_panda', 'rat', 'pig']",13
awa_data\unseen\raccoon\raccoon_10003.jpg,raccoon_10003.jpg,raccoon,bear,7,0,"['rat', 'pig', 'raccoon', 'leopard', 'humpback_whale']",7
awa_data\unseen\raccoon\raccoon_10004.jpg,raccoon_10004.jpg,raccoon,mouse,7,9,"['rat', 'leopard', 'raccoon', 'hippopotamus', 'pig']",7
awa_data\unseen\raccoon\raccoon_10005.jpg,raccoon_10005.jpg,raccoon,siamese_cat,7,13,"['persian_cat', 'humpback_whale', 'giant_panda', 'rat', 'pig']",13
awa_data\unseen\raccoon\raccoon_10006.jpg,raccoon_10006.jpg,raccoon,bear,7,0,"['rat', 'pig', 'raccoon', 'leopard', 'humpback_whale']",7
awa_data\unseen\raccoon\raccoon_10007.jpg,raccoon_10007.jpg,raccoon,siamese_cat,7,13,"['persian_cat', 'humpback_whale', 'giant_panda', 'rat', 'pig']",13
awa_data\unseen\raccoon\raccoon_10008.jpg,raccoon_10008.jpg,raccoon,squirrel,7,15,"['rat', 'raccoon', 'pig', 'chimpanzee', 'hippopotamus']",7
awa_data\unseen\raccoon\raccoon_10009.jpg,raccoon_10009.jpg,raccoon,walrus,7,17,"['humpback_whale', 'leopard', 'persian_cat', 'raccoon', 'rat']",7
awa_data\unseen\raccoon\raccoon_10010.jpg,raccoon_10010.jpg,raccoon,squirrel,7,15,"['rat', 'raccoon', 'pig', 'chimpanzee', 'hippopotamus']",7
awa_data\unseen\rat\rat_10001.jpg,rat_10001.jpg,rat,squirrel,8,15,"['rat', 'raccoon', 'pig', 'chimpanzee', 'hippopotamus']",8
awa_data\unseen\rat\rat_10002.jpg,rat_10002.jpg,rat,mouse,8,9,"['rat', 'leopard', 'raccoon', 'hippopotamus', 'pig']",8
awa_data\unseen\rat\rat_10003.jpg,rat_10003.jpg,rat,mouse,8,9,"['rat', 'leopard', 'raccoon', 'hippopotamus', 'pig']",8
awa_data\unseen\rat\rat_10004.jpg,rat_10004.jpg,rat,mouse,8,9,"['rat', 'leopard', 'raccoon', 'hippopotamus', 'pig']",8
awa_data\unseen\rat\rat_10005.jpg,rat_10005.jpg,rat,skunk,8,14,"['rat', 'raccoon', 'pig', 'hippopotamus', 'leopard']",8
awa_data\unseen\rat\rat_10006.jpg,rat_10006.jpg,rat,walrus,8,17,"['humpback_whale', 'leopard', 'persian_cat', 'raccoon', 'rat']",8
awa_data\unseen\rat\rat_10007.jpg,rat_10007.jpg,rat,walrus,8,17,"['humpback_whale', 'leopard', 'persian_cat', 'raccoon', 'rat']",8
awa_data\unseen\rat\rat_10008.jpg,rat_10008.jpg,rat,mouse,8,9,"['rat', 'leopard', 'raccoon', 'hippopotamus', 'pig']",8
awa_data\unseen\rat\rat_10009.jpg,rat_10009.jpg,rat,walrus,8,17,"['humpback_whale', 'leopard', 'persian_cat', 'raccoon', 'rat']",8
awa_data\unseen\rat\rat_10010.jpg,rat_10010.jpg,rat,walrus,8,17,"['humpback_whale', 'leopard', 'persian_cat', 'raccoon', 'rat']",8
awa_data\unseen\seal\seal_10001.jpg,seal_10001.jpg,seal,bear,9,0,"['rat', 'pig', 'raccoon', 'leopard', 'humpback_whale']",0
awa_data\unseen\seal\seal_10002.jpg,seal_10002.jpg,seal,rhinoceros,9,12,"['raccoon', 'hippopotamus', 'humpback_whale', 'leopard', 'chimpanzee']",12
awa_data\unseen\seal\seal_10003.jpg,seal_10003.jpg,seal,dolphin,9,4,"['humpback_whale', 'leopard', 'rat', 'raccoon', 'seal']",9
awa_data\unseen\seal\seal_10004.jpg,seal_10004.jpg,seal,dolphin,9,4,"['humpback_whale', 'leopard', 'rat', 'raccoon', 'seal']",9
awa_data\unseen\seal\seal_10005.jpg,seal_10005.jpg,seal,siamese_cat,9,13,"['persian_cat', 'humpback_whale', 'giant_panda', 'rat', 'pig']",13
awa_data\unseen\seal\seal_10006.jpg,seal_10006.jpg,seal,walrus,9,17,"['humpback_whale', 'leopard', 'persian_cat', 'raccoon', 'rat']",17
awa_data\unseen\seal\seal_10007.jpg,seal_10007.jpg,seal,skunk,9,14,"['rat', 'raccoon', 'pig', 'hippopotamus', 'leopard']",14
awa_data\unseen\seal\seal_10008.jpg,seal_10008.jpg,seal,mouse,9,9,"['rat', 'leopard', 'raccoon', 'hippopotamus', 'pig']",9
awa_data\unseen\seal\seal_10009.jpg,seal_10009.jpg,seal,walrus,9,17,"['humpback_whale', 'leopard', 'persian_cat', 'raccoon', 'rat']",17
awa_data\unseen\seal\seal_10010.jpg,seal_10010.jpg,seal,mouse,9,9,"['rat', 'leopard', 'raccoon', 'hippopotamus', 'pig']",9
